#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase 
1,10.0,0.2000,0.01,0.00
2,10.1,0.2000,0.02,0.00
3,10.3,0.2000,0.01,0.05
4,10.4,0.2000,0.01,0.00
5,10.6,0.2000,0.02,0.02
6,10.8,0.2000,0.01,0.00
7,10.9,0.2000,0.02,0.01
8,11.1,0.2000,0.02,0.07
9,11.2,0.2000,0.02,0.01
10,11.4,0.2000,0.02,0.05
11,11.6,0.2000,0.02,0.00
12,11.7,0.2000,0.02,0.07
13,11.9,0.2000,0.02,0.07
14,12.1,0.2000,0.02,0.05
15,12.3,0.2000,0.03,0.07
16,12.4,0.2000,0.03,0.05
17,12.6,0.2000,0.02,0.05
18,12.8,0.2000,0.02,0.07
19,13.0,0.2000,0.01,0.05
20,13.2,0.2000,0.02,0.05
21,13.4,0.2000,0.02,0.01
22,13.6,0.2000,0.02,0.05
23,13.8,0.2000,0.02,0.07
24,14.0,0.2000,0.02,0.06
25,14.2,0.2000,0.02,0.06
26,14.4,0.2000,0.03,0.05
27,14.6,0.2000,0.03,0.05
28,14.8,0.2000,0.01,0.05
29,15.0,0.2000,0.01,0.06
30,15.2,0.2000,0.02,0.06
31,15.5,0.2000,0.02,0.06
32,15.7,0.2000,0.02,0.06
33,15.9,0.2000,0.01,0.08
34,16.1,0.2000,0.01,0.05
35,16.4,0.2000,0.01,0.06
36,16.6,0.2000,0.01,0.06
37,16.9,0.2000,0.01,0.06
38,17.1,0.2000,0.02,0.12
39,17.4,0.2000,0.01,0.06
40,17.6,0.2000,0.02,0.07
41,17.9,0.2000,0.02,0.05
42,18.1,0.2000,0.02,0.10
43,18.4,0.2000,0.03,0.11
44,18.7,0.2000,0.01,0.10
45,18.9,0.2000,0.02,0.12
46,19.2,0.2000,0.02,0.05
47,19.5,0.2000,0.02,0.12
48,19.8,0.2000,0.02,0.07
49,20.1,0.2000,0.03,0.05
50,20.4,0.2000,0.02,0.06
51,20.7,0.2000,0.02,0.10
52,21.0,0.2000,0.03,0.05
53,21.3,0.2000,0.03,0.10
54,21.6,0.2000,0.02,0.05
55,21.9,0.2000,0.02,0.05
56,22.2,0.2000,0.02,0.07
57,22.5,0.2000,0.02,0.07
58,22.9,0.2000,0.03,0.10
59,23.2,0.2000,0.03,0.05
60,23.5,0.2000,0.03,0.05
61,23.9,0.2000,0.03,0.05
62,24.2,0.2000,0.03,0.10
63,24.6,0.2000,0.03,0.12
64,24.9,0.2000,0.03,0.07
65,25.3,0.2000,0.03,0.07
66,25.7,0.2000,0.03,0.05
67,26.1,0.2000,0.03,0.07
68,26.4,0.2000,0.03,0.05
69,26.8,0.2000,0.04,0.05
70,27.2,0.2000,0.04,0.05
71,27.6,0.2000,0.03,0.05
72,28.0,0.2000,0.03,0.05
73,28.4,0.2000,0.04,0.05
74,28.8,0.2000,0.04,0.04
75,29.3,0.2000,0.04,0.05
76,29.7,0.2000,0.03,0.06
77,30.1,0.2000,0.05,0.06
78,30.6,0.2000,0.04,0.07
79,31.0,0.2000,0.03,0.05
80,31.5,0.2000,0.04,0.07
81,31.9,0.2000,0.05,0.05
82,32.4,0.2000,0.05,0.05
83,32.9,0.2000,0.05,0.00
84,33.3,0.2000,0.05,0.00
85,33.8,0.2000,0.06,0.01
86,34.3,0.2000,0.05,0.00
87,34.8,0.2000,0.04,0.00
