t, i, q
-2.497600E+00,-40.201E-03,-24.121E-03
-2.495100E+00,-42.211E-03,-28.643E-03
-2.492600E+00,-39.196E-03,-30.151E-03
-2.490100E+00,-40.201E-03,-28.141E-03
-2.487600E+00,-38.191E-03,-34.171E-03
-2.485100E+00,-36.683E-03,-32.663E-03
-2.482600E+00,-38.191E-03,-33.166E-03
-2.480100E+00,-37.186E-03,-38.191E-03
-2.477600E+00,-40.201E-03,-34.171E-03
-2.475100E+00,-38.191E-03,-36.683E-03
-2.472600E+00,-37.186E-03,-42.211E-03
-2.470100E+00,-38.191E-03,-40.704E-03
-2.467600E+00,-38.191E-03,-46.231E-03
-2.465100E+00,-36.683E-03,-45.729E-03
-2.462600E+00,-35.176E-03,-46.231E-03
-2.460100E+00,-34.171E-03,-51.759E-03
-2.457600E+00,-36.181E-03,-50.251E-03
-2.455100E+00,-34.171E-03,-51.256E-03
-2.452600E+00,-33.166E-03,-55.276E-03
-2.450100E+00,-30.653E-03,-56.784E-03
-2.447600E+00,-36.181E-03,-56.281E-03
-2.445100E+00,-31.658E-03,-58.291E-03
-2.442600E+00,-30.151E-03,-60.302E-03
-2.440100E+00,-30.653E-03,-63.317E-03
-2.437600E+00,-30.151E-03,-64.322E-03
-2.435100E+00,-27.638E-03,-63.819E-03
-2.432600E+00,-26.131E-03,-67.337E-03
-2.430100E+00,-25.126E-03,-66.332E-03
-2.427600E+00,-26.131E-03,-68.342E-03
-2.425100E+00,-24.623E-03,-70.352E-03
-2.422600E+00,-23.116E-03,-70.352E-03
-2.420100E+00,-22.613E-03,-68.844E-03
-2.417600E+00,-20.101E-03,-74.372E-03
-2.415100E+00,-20.101E-03,-72.362E-03
-2.412600E+00,-18.090E-03,-75.377E-03
-2.410100E+00,-17.588E-03,-76.382E-03
-2.407600E+00,-14.070E-03,-78.392E-03
-2.405100E+00,-14.573E-03,-73.869E-03
-2.402600E+00,-14.070E-03,-76.382E-03
-2.400100E+00,-12.563E-03,-78.392E-03
-2.397600E+00,-10.050E-03,-78.392E-03
-2.395100E+00,-10.050E-03,-81.910E-03
-2.392600E+00,-10.050E-03,-79.397E-03
-2.390100E+00,-6.030E-03,-83.920E-03
-2.387600E+00,-8.040E-03,-80.402E-03
-2.385100E+00,-8.040E-03,-83.920E-03
-2.382600E+00,-2.010E-03,-84.422E-03
-2.380100E+00,-5.528E-03,-84.422E-03
-2.377600E+00,-2.010E-03,-84.422E-03
-2.375100E+00,+2.513E-03,-84.925E-03
-2.372600E+00,+2.010E-03,-88.442E-03
-2.370100E+00,+4.020E-03,-88.442E-03
-2.367600E+00,+4.020E-03,-88.442E-03
-2.365100E+00,+6.030E-03,-87.940E-03
-2.362600E+00,+9.045E-03,-87.437E-03
-2.360100E+00,+8.543E-03,-89.950E-03
-2.357600E+00,+8.040E-03,-90.452E-03
-2.355100E+00,+12.060E-03,-89.950E-03
-2.352600E+00,+12.060E-03,-91.457E-03
-2.350100E+00,+12.563E-03,-88.945E-03
-2.347600E+00,+18.090E-03,-90.452E-03
-2.345100E+00,+18.090E-03,-90.452E-03
-2.342600E+00,+19.095E-03,-89.447E-03
-2.340100E+00,+20.101E-03,-90.452E-03
-2.337600E+00,+24.121E-03,-90.452E-03
-2.335100E+00,+25.126E-03,-90.452E-03
-2.332600E+00,+26.131E-03,-88.442E-03
-2.330100E+00,+25.628E-03,-91.457E-03
-2.327600E+00,+30.151E-03,-90.452E-03
-2.325100E+00,+31.658E-03,-86.935E-03
-2.322600E+00,+29.146E-03,-89.447E-03
-2.320100E+00,+32.663E-03,-88.442E-03
-2.317600E+00,+34.171E-03,-88.442E-03
-2.315100E+00,+33.668E-03,-88.442E-03
-2.312600E+00,+37.186E-03,-86.432E-03
-2.310100E+00,+35.176E-03,-87.437E-03
-2.307600E+00,+44.221E-03,-84.422E-03
-2.305100E+00,+40.201E-03,-86.432E-03
-2.302600E+00,+44.221E-03,-86.432E-03
-2.300100E+00,+45.226E-03,-85.930E-03
-2.297600E+00,+46.231E-03,-84.422E-03
-2.295100E+00,+46.231E-03,-84.422E-03
-2.292600E+00,+49.246E-03,-82.412E-03
-2.290100E+00,+50.251E-03,-80.905E-03
-2.287600E+00,+48.241E-03,-82.412E-03
-2.285100E+00,+53.769E-03,-78.894E-03
-2.282600E+00,+52.261E-03,-79.397E-03
-2.280100E+00,+52.764E-03,-78.392E-03
-2.277600E+00,+58.291E-03,-78.392E-03
-2.275100E+00,+58.291E-03,-76.884E-03
-2.272600E+00,+58.291E-03,-74.372E-03
-2.270100E+00,+60.302E-03,-75.377E-03
