t,q,i
-5.000000E+00,+241.206E-03,+2.130653E+00
-4.995000E+00,+281.407E-03,+2.221106E+00
-4.990000E+00,+321.608E-03,+2.190955E+00
-4.985000E+00,+351.759E-03,+2.341709E+00
-4.980000E+00,+442.211E-03,+2.412060E+00
-4.975000E+00,+482.412E-03,+2.542714E+00
-4.970000E+00,+482.412E-03,+2.512563E+00
-4.965000E+00,+562.814E-03,+2.643216E+00
-4.960000E+00,+683.417E-03,+2.693467E+00
-4.955000E+00,+653.266E-03,+2.733668E+00
-4.950000E+00,+763.819E-03,+2.814070E+00
-4.945000E+00,+884.422E-03,+2.884422E+00
-4.940000E+00,+1.005025E+00,+2.934673E+00
-4.935000E+00,+994.975E-03,+2.944724E+00
-4.930000E+00,+1.085427E+00,+2.994975E+00
-4.925000E+00,+1.226131E+00,+3.095477E+00
-4.920000E+00,+1.246231E+00,+2.974874E+00
-4.915000E+00,+1.366834E+00,+3.105528E+00
-4.910000E+00,+1.487437E+00,+3.115578E+00
-4.905000E+00,+1.608040E+00,+3.125628E+00
-4.900000E+00,+1.648241E+00,+3.135678E+00
-4.895000E+00,+1.728643E+00,+3.135678E+00
-4.890000E+00,+1.889447E+00,+3.135678E+00
-4.885000E+00,+1.889447E+00,+3.075377E+00
-4.880000E+00,+2.050251E+00,+3.095477E+00
-4.875000E+00,+2.130653E+00,+3.065327E+00
-4.870000E+00,+2.251256E+00,+3.055276E+00
-4.865000E+00,+2.261307E+00,+3.055276E+00
-4.860000E+00,+2.371859E+00,+3.015075E+00
-4.855000E+00,+2.502513E+00,+2.974874E+00
-4.850000E+00,+2.572864E+00,+2.914573E+00
-4.845000E+00,+2.623116E+00,+2.874372E+00
-4.840000E+00,+2.773869E+00,+2.814070E+00
-4.835000E+00,+2.854271E+00,+2.683417E+00
-4.830000E+00,+2.874372E+00,+2.733668E+00
-4.825000E+00,+2.934673E+00,+2.653266E+00
-4.820000E+00,+3.055276E+00,+2.492462E+00
-4.815000E+00,+3.085427E+00,+2.412060E+00
-4.810000E+00,+3.095477E+00,+2.391960E+00
-4.805000E+00,+3.165829E+00,+2.261307E+00
-4.800000E+00,+3.175879E+00,+2.170854E+00
-4.795000E+00,+3.246231E+00,+2.201005E+00
-4.790000E+00,+3.256281E+00,+2.050251E+00
-4.785000E+00,+3.286432E+00,+1.929648E+00
-4.780000E+00,+3.296482E+00,+1.809045E+00
-4.775000E+00,+3.306533E+00,+1.809045E+00
-4.770000E+00,+3.276382E+00,+1.648241E+00
-4.765000E+00,+3.286432E+00,+1.567839E+00
-4.760000E+00,+3.336683E+00,+1.527638E+00
-4.755000E+00,+3.306533E+00,+1.437186E+00
-4.750000E+00,+3.276382E+00,+1.266332E+00
-4.745000E+00,+3.266332E+00,+1.165829E+00
-4.740000E+00,+3.256281E+00,+1.206030E+00
-4.735000E+00,+3.185930E+00,+1.045226E+00
-4.730000E+00,+3.135678E+00,+924.623E-03
-4.725000E+00,+3.145729E+00,+954.774E-03
-4.720000E+00,+3.135678E+00,+804.020E-03
-4.715000E+00,+3.005025E+00,+713.568E-03
-4.710000E+00,+2.914573E+00,+623.116E-03
-4.705000E+00,+2.944724E+00,+603.015E-03
-4.700000E+00,+2.814070E+00,+522.613E-03
-4.695000E+00,+2.763819E+00,+402.010E-03
-4.690000E+00,+2.733668E+00,+422.111E-03
-4.685000E+00,+2.613065E+00,+331.658E-03
-4.680000E+00,+2.532663E+00,+281.407E-03
-4.675000E+00,+2.442211E+00,+160.804E-03
-4.670000E+00,+2.432161E+00,+201.005E-03
-4.665000E+00,+2.261307E+00,+190.955E-03
-4.660000E+00,+2.130653E+00,+160.804E-03
-4.655000E+00,+2.391960E+00,+221.106E-03
-4.650000E+00,+2.030151E+00,+80.402E-03
-4.645000E+00,+1.919598E+00,+80.402E-03
-4.640000E+00,+1.809045E+00,+80.402E-03
-4.635000E+00,+1.798995E+00,+50.251E-03
-4.630000E+00,+1.628141E+00,+80.402E-03
-4.625000E+00,+1.487437E+00,+80.402E-03
-4.620000E+00,+1.326633E+00,+80.402E-03
-4.615000E+00,+1.366834E+00,+90.452E-03
-4.610000E+00,+1.246231E+00,+120.603E-03
-4.605000E+00,+1.105528E+00,+190.955E-03
-4.600000E+00,+1.085427E+00,+160.804E-03
-4.595000E+00,+994.975E-03,+221.106E-03
-4.590000E+00,+904.523E-03,+321.608E-03
-4.585000E+00,+804.020E-03,+391.960E-03
-4.580000E+00,+763.819E-03,+402.010E-03
-4.575000E+00,+643.216E-03,+482.412E-03
-4.570000E+00,+582.915E-03,+542.714E-03
-4.565000E+00,+522.613E-03,+572.864E-03
-4.560000E+00,+482.412E-03,+683.417E-03
-4.555000E+00,+412.060E-03,+804.020E-03
-4.550000E+00,+341.709E-03,+904.523E-03
-4.545000E+00,+351.759E-03,+864.322E-03
-4.540000E+00,+281.407E-03,+1.045226E+00
-4.535000E+00,+241.206E-03,+1.115578E+00
-4.530000E+00,+241.206E-03,+1.145729E+00
-4.525000E+00,+201.005E-03,+1.226131E+00
-4.520000E+00,+160.804E-03,+1.407035E+00
-4.515000E+00,+150.754E-03,+1.527638E+00
-4.510000E+00,+160.804E-03,+1.507538E+00
-4.505000E+00,+160.804E-03,+1.648241E+00
-4.500000E+00,+201.005E-03,+1.768844E+00
-4.495000E+00,+160.804E-03,+1.758794E+00
-4.490000E+00,+2.512563E+00,+381.910E-03
-4.485000E+00,+2.341709E+00,+261.307E-03
-4.480000E+00,+2.211055E+00,+281.407E-03
-4.475000E+00,+2.211055E+00,+271.357E-03
-4.470000E+00,+2.090452E+00,+241.206E-03
-4.465000E+00,+1.969849E+00,+201.005E-03
-4.460000E+00,+1.969849E+00,+201.005E-03
-4.455000E+00,+1.839196E+00,+160.804E-03
-4.450000E+00,+1.708543E+00,+201.005E-03
-4.445000E+00,+1.567839E+00,+170.854E-03
-4.440000E+00,+1.567839E+00,+160.804E-03
-4.435000E+00,+1.437186E+00,+201.005E-03
-4.430000E+00,+1.306533E+00,+221.106E-03
-4.425000E+00,+1.326633E+00,+231.156E-03
-4.420000E+00,+1.206030E+00,+241.206E-03
-4.415000E+00,+1.075377E+00,+321.608E-03
-4.410000E+00,+904.523E-03,+402.010E-03
-4.405000E+00,+954.774E-03,+402.010E-03
-4.400000E+00,+844.221E-03,+402.010E-03
-4.395000E+00,+693.467E-03,+502.513E-03
-4.390000E+00,+663.317E-03,+502.513E-03
-4.385000E+00,+613.065E-03,+572.864E-03
-4.380000E+00,+482.412E-03,+683.417E-03
-4.375000E+00,+412.060E-03,+793.970E-03
-4.370000E+00,+442.211E-03,+804.020E-03
-4.365000E+00,+361.809E-03,+884.422E-03
