t,i,q
-1.8,-1.914832,3.1327024
-1.7996,-1.9154293,3.1331931
-1.7992,-1.9155612,3.1331905
-1.7988,-1.9156618,3.1336001
-1.7984,-1.9157736,3.1329719
-1.798,-1.9154632,3.1330134
-1.7976,-1.915734,3.1328872
-1.7972,-1.9154802,3.1330567
-1.7968,-1.9157623,3.1333413
-1.7964,-1.9155386,3.1331736
-1.796,-1.8770649,3.1514291
-1.7956,-1.7934144,3.1784255
-1.7952,-1.7979607,3.1898424
-1.7948,-1.7999381,3.1925153
-1.7944,-1.7999607,3.1923375
-1.794,-1.8002623,3.1924669
-1.7936,-1.7999607,3.1923162
-1.7932,-1.8002396,3.192254
-1.7928,-1.7999607,3.1923294
-1.7924,-1.8007026,3.193004
-1.792,-1.8003408,3.1924387
-1.7916,-1.8003697,3.1927684
-1.7912,-1.7999607,3.1925197
-1.7908,-1.7222805,3.2101374
-1.7904,-1.6681196,3.2206754
-1.79,-1.6727779,3.2283054
-1.7896,-1.6736109,3.2296717
-1.7892,-1.6736259,3.2296717
-1.7888,-1.6736259,3.2299054
-1.7884,-1.6734978,3.2297998
-1.788,-1.6734092,3.2296529
-1.7876,-1.6732874,3.2297263
-1.7872,-1.6733904,3.2296001
-1.7868,-1.6738766,3.2293626
-1.7864,-1.6741498,3.2299072
-1.786,-1.6666947,3.230683
-1.7856,-1.5440222,3.2352957
-1.7852,-1.536122,3.2371444
-1.7848,-1.539055,3.2419368
-1.7844,-1.5389909,3.2424474
-1.784,-1.5390719,3.2424701
-1.7836,-1.5396636,3.2422402
-1.7832,-1.5394337,3.242987
-1.7828,-1.5389796,3.2426943
-1.7824,-1.5393414,3.2420574
-1.782,-1.5394111,3.2426774
-1.7816,-1.5393584,3.2426246
-1.7812,-1.5392491,3.2426152
-1.7808,-1.4883969,3.2374904
-1.7804,-1.3980938,3.2193449
-1.78,-1.4024732,3.2282268
-1.7796,-1.403761,3.2306151
-1.7792,-1.4039664,3.2307226
-1.7788,-1.4039966,3.2306924
-1.7784,-1.4039966,3.2309148
-1.778,-1.4042321,3.231041
-1.7776,-1.4039966,3.2309355
-1.7772,-1.4039966,3.2312691
-1.7768,-1.4039966,3.2313576
-1.7764,-1.4039966,3.230781
-1.776,-1.4021754,3.2303251
-1.7756,-1.3108518,3.2025139
-1.7752,-1.2648808,3.1852292
-1.7748,-1.2692829,3.1939128
-1.7744,-1.2700286,3.194803
-1.774,-1.2700738,3.1952307
-1.7736,-1.2702711,3.1949669
-1.7732,-1.2701241,3.1945373
-1.7728,-1.2701241,3.1953865
-1.7724,-1.269815,3.1957483
-1.772,-1.2707082,3.1955165
-1.7716,-1.2703728,3.195281
-1.7712,-1.2704557,3.195281
-1.7708,-1.2603174,3.1911904
-1.7704,-1.1566327,3.1362281
-1.77,-1.141842,3.1325924
-1.7696,-1.1436486,3.1371603
-1.7692,-1.1437748,3.137771
-1.7688,-1.1442001,3.1376371
-1.7684,-1.1444959,3.1378086
-1.768,-1.1444959,3.1383777
-1.7676,-1.1441819,3.1386177
-1.7672,-1.1444808,3.1379858
-1.7668,-1.144381,3.1383463
-1.7664,-1.1447258,3.1381931
-1.766,-1.1444959,3.1384028
-1.7656,-1.1158242,3.1186995
-1.7652,-1.026378,3.0527354
-1.7648,-1.027244,3.05848
-1.7644,-1.0278973,3.0606962
-1.764,-1.0284249,3.0604318
-1.7636,-1.0284212,3.0604393
-1.7632,-1.0282949,3.0610944
-1.7628,-1.0285323,3.0610944
-1.7624,-1.0283684,3.0610398
-1.762,-1.0281517,3.06133
-1.7616,-1.0281329,3.0610944
-1.7612,-1.0281329,3.0608608
-1.7608,-1.0286825,3.0608589
-1.7604,-0.9601095,2.9941611
-1.76,-0.9257458,2.9567914
-1.7596,-0.9284476,2.9637144
-1.7592,-0.9286511,2.9651239
-1.7588,-0.9288866,2.9647829
-1.7584,-0.9288866,2.9647716
-1.758,-0.9288866,2.9648978
-1.7576,-0.9290788,2.9650674
-1.7572,-0.9288866,2.9649148
-1.7568,-0.9288866,2.9653463
-1.7564,-0.9291222,2.9651485
-1.756,-0.9293483,2.965058
-1.7556,-0.9200116,2.9524137
-1.7552,-0.8486574,2.8499513
-1.7548,-0.8483181,2.8506803
-1.7544,-0.8495543,2.8560524
