#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase
1,10.0,0.2000,10.04,-0.05
2,10.1,0.2000,10.04,-0.05
3,10.3,0.2000,10.03,-0.11
4,10.4,0.2000,10.04,-0.04
5,10.6,0.2000,10.04,-0.05
6,10.8,0.2000,10.04,-0.05
7,10.9,0.2000,10.04,-0.07
8,11.1,0.2000,10.10,-0.01
9,11.2,0.2000,10.10,-0.07
10,11.4,0.2000,10.10,-0.02
11,11.6,0.2000,10.10,-0.05
12,11.7,0.2000,10.08,-0.05
13,11.9,0.2000,10.10,-0.05
14,12.1,0.2000,10.09,0.00
15,12.3,0.2000,10.09,-0.05
16,12.4,0.2000,10.08,-0.05
17,12.6,0.2000,10.10,0.00
18,12.8,0.2000,10.10,0.00
19,13.0,0.2000,10.09,0.00
20,13.2,0.2000,10.10,0.00
21,13.4,0.2000,10.08,0.00
22,13.6,0.2000,10.09,0.00
23,13.8,0.2000,10.09,0.06
24,14.0,0.2000,10.09,0.00
25,14.2,0.2000,10.09,0.00
26,14.4,0.2000,10.09,0.05
27,14.6,0.2000,10.08,0.00
28,14.8,0.2000,10.09,0.00
29,15.0,0.2000,10.08,0.00
30,15.2,0.2000,10.08,0.00
31,15.5,0.2000,10.09,0.01
32,15.7,0.2000,10.08,0.00
33,15.9,0.2000,10.09,0.00
34,16.1,0.2000,10.10,0.05
35,16.4,0.2000,10.08,0.00
36,16.6,0.2000,10.11,0.00
37,16.9,0.2000,10.10,0.00
38,17.1,0.2000,10.10,0.00
39,17.4,0.2000,10.09,0.05
40,17.6,0.2000,10.09,0.05
41,17.9,0.2000,10.09,0.06
42,18.1,0.2000,10.10,0.05
43,18.4,0.2000,10.09,0.05
44,18.7,0.2000,10.09,0.00
45,18.9,0.2000,10.09,0.06
46,19.2,0.2000,10.10,0.05
47,19.5,0.2000,10.09,0.04
48,19.8,0.2000,10.10,0.05
49,20.1,0.2000,10.10,0.05
50,20.4,0.2000,10.10,0.05
51,20.7,0.2000,10.10,0.04
52,21.0,0.2000,10.10,0.06
53,21.3,0.2000,10.10,0.05
54,21.6,0.2000,10.10,0.01
55,21.9,0.2000,10.09,0.04
56,22.2,0.2000,10.08,0.05
57,22.5,0.2000,10.09,0.00
58,22.9,0.2000,10.09,0.01
59,23.2,0.2000,10.09,0.05
60,23.5,0.2000,10.10,0.01
61,23.9,0.2000,10.11,0.05
62,24.2,0.2000,10.10,0.05
63,24.6,0.2000,10.10,0.07
64,24.9,0.2000,10.11,0.05
65,25.3,0.2000,10.10,0.01
66,25.7,0.2000,10.10,0.05
67,26.1,0.2000,10.10,0.05
68,26.4,0.2000,10.11,0.02
69,26.8,0.2000,10.10,0.05
70,27.2,0.2000,10.10,0.01
71,27.6,0.2000,10.10,0.04
72,28.0,0.2000,10.10,0.05
73,28.4,0.2000,10.11,0.05
74,28.8,0.2000,10.11,0.04
75,29.3,0.2000,10.11,0.01
76,29.7,0.2000,10.10,0.04
77,30.1,0.2000,10.10,0.01
78,30.6,0.2000,10.10,0.05
79,31.0,0.2000,10.11,0.05
80,31.5,0.2000,10.11,0.05
81,31.9,0.2000,10.11,0.01
82,32.4,0.2000,10.09,0.04
83,32.9,0.2000,10.11,0.00
84,33.3,0.2000,10.11,0.01
85,33.8,0.2000,10.11,0.01
86,34.3,0.2000,10.11,0.00
87,34.8,0.2000,10.10,0.01
88,35.3,0.2000,10.12,0.04
89,35.9,0.2000,10.11,0.00
90,36.4,0.2000,10.12,0.00
91,36.9,0.2000,10.11,0.00
92,37.4,0.2000,10.11,0.00
93,38.0,0.2000,10.11,0.00
94,38.5,0.2000,10.12,0.00
95,39.1,0.2000,10.11,-0.01
96,39.7,0.2000,10.12,0.00
97,40.3,0.2000,10.11,-0.01
98,40.9,0.2000,10.11,-0.05
99,41.4,0.2000,10.11,-0.04
100,42.1,0.2000,10.11,-0.06
101,42.7,0.2000,10.12,-0.07
102,43.3,0.2000,10.11,-0.05
103,43.9,0.2000,10.07,-0.05
104,44.6,0.2000,10.06,-0.05
105,45.2,0.2000,10.07,-0.04
106,45.9,0.2000,10.07,-0.08
107,46.5,0.2000,10.07,-0.05
